time,EAR
1,-0.18916461340541202
2,-0.15425234989209186
3,-0.14183514320792082
4,-0.0858651814789708
5,-0.06810414163495063
6,-0.09196234709196456
7,-0.10898653020240906
8,-0.058604124898892405
9,-0.034654617553735376
10,0.05415333860805167
11,0.0007476144507372745
12,0.0321763809454483
13,-0.015729868703978873
14,0.0277158417859032
15,-0.0029903570072771536
16,-0.09013153197080376
17,0.020610056589933715
18,0.06914018408514071
19,0.21626826515524036
20,0.1983062565101798
21,0.20418190213987916
22,0.12346280180613517
23,0.19080933225864447
24,0.282227413466999
25,0.26431291901270426
26,0.1673438699434276
27,0.20640259473010836
28,0.1939870330995905
29,0.2853360097186797
30,0.2980735688086282
31,0.2186058277641042
32,0.28721546397453646
33,0.4076088773738239
34,0.43866356411991003
35,0.45836708918454677
36,0.5483083549354506
37,0.5849251381860804
38,0.5307751706708165
39,0.5212925139950705
40,0.5973596895183384
41,0.7101738571936517
42,0.9875079918545957
43,0.95754003668693
44,1.0399344755213107
0,1.1310139496859342
1,1.1482152658430254
2,1.027776054860984
3,0.653459366113212
4,0.7960146342589685
5,0.9247988356323262
6,0.8304024468405921
7,0.9406729644661324
8,1.000948244105985
9,0.9712801465380009
10,1.0344456973939757
11,1.0373845261100625
12,1.0313431368179626
13,1.0877037374038268
14,1.1780776464725242
15,1.0394196929936808
16,0.9893692157105264
17,0.8778430715100455
18,0.8933666575394341
19,0.6741911279512085
20,0.24945084156524538
21,-0.22511770596690878
22,-0.4250572639582657
23,-0.3087464908808182
24,-0.3759532341088174
25,-0.1789127687420797
26,0.027370768784317462
27,0.053773917924281794
28,-0.10465680541384417
29,-0.14759297399358914
30,-0.23261530813354744
31,-0.08362853363609035
32,-0.07461660838383218
33,0.02765827070915028
34,-0.9130055643836863
35,-1.1126144602042758
36,-0.8349907590056708
37,-0.8265524742909605
38,-0.8461189606073806
39,-0.34817226428923415
40,0.34088040307401335
41,0.5863791878534479
42,0.26002967352554324
43,0.12875296397366331
44,0.15993674876369626
0,-0.5063126825714246
1,-0.721784064970224
2,-0.8292853193796194
3,-0.7643174344912621
4,-0.8230511021171865
5,-0.7096579429928598
6,-0.6527318245051733
7,-0.5865005413821875
8,-0.4636939889582123
9,-0.38573364113154784
10,-0.21551719079101656
11,-0.10366806425455802
12,0.08736814832082536
13,0.2911190854066308
14,0.4587308300141307
15,0.5669636942990556
16,0.6206062297370936
17,0.7242176476769724
18,0.8554919404874473
19,1.053965429311348
20,1.092618124488523
